image_id,X,Y,Width,Height,English Text,Hindi Text,P_TYPE
420,163,116,211.0,182,projection screen is white,प्रोजेक्शन स्क्रीन सफेद है,train
421,499,206,52.0,249,yellow traffic signal attached to a gray pole,पीले ट्रैफिक सिग्नल एक ग्रे पोल से जुड़ा हुआ है,train
423,85,293,275.0,168,red truck behind silver car,चांदी की कार के पीछे लाल ट्रक,train
426,169,182,425.0,235,two mopeds are parked,दो मोपेड खड़ी हैं,train
427,628,274,169.0,250,A blue car on the street.,सड़क पर एक नीली कार।,train
428,365,217,242.0,125,black car with yellow doors,पीली डोर वाली काली कार,train
429,201,274,300.0,129,a car with four doors,चार दरवाजों वाली एक कार,train
430,550,340,116.0,189,bike parked on the sidewalk,फुटपाथ पर खड़ी बाइक,train
435,161,272,64.0,96,Red motorcycle on sidewalk,फुटपाथ पर लाल मोटरसाइकिल,train
436,661,332,46.0,113,man wearing blue shirt,नीली कमीज पहने आदमी,train
437,98,321,427.0,227,Group of scooters parked next to each other,स्कूटरों का समूह एक दूसरे के बगल में खड़ा था,train
450,158,291,282.0,276,yellow VW leaving parking lot,पीले वीडब्ल्यू पार्किंग को छोड़कर,train
452,161,379,162.0,219,bag of oranges,संतरे का बैग,train
454,6,210,788.0,355,there is a band on stage,मंच पर एक बैंड है,train
455,719,175,41.0,58,window on white house,सफेद घर पर खिड़की,train
456,112,141,226.0,182,these are tall buildings,ये ऊंची इमारतें हैं,train
461,18,372,317.0,227,small car beside curb,कर्ब के पास छोटी कार,train
465,65,295,115.0,173,this is a person,यह एक व्यक्ति है,train
466,198,21,402.0,501,bull on the sand,रेत पर बैल,train
471,616,138,162.0,146,the building with a yellow roof,एक पीले रंग की छत के साथ इमारत,train
473,145,406,51.0,60,the cup is upside down,कप उल्टा है,train
475,354,93,94.0,115,Light in the ceiling.,छत में प्रकाश।,train
479,341,254,366.0,229,Black truck is parked,काला ट्रक पार्क किया गया है,train
484,344,207,59.0,217,the man in the light blue coat,हल्के नीले कोट में आदमी,train
485,162,355,126.0,161,Bike leaning against black gate,काले फाटक के खिलाफ बाइक झुकाव,train
491,6,41,148.0,557,white curtain on window,विंडो पर श्वेत पर्दा,train
499,317,223,146.0,89,the alarm clock is off,अलार्म घड़ी बंद है,train
501,369,55,140.0,122,A medium sized picture on the wall.,दीवार पर एक मध्यम आकार का चित्र।,train
504,411,31,90.0,277,A bottle of water on the table.,टेबल पर पानी की एक बोतल।,train
505,622,287,45.0,150,Wired telephone connected to the wall,तार से जुड़ा तार,train
509,333,279,224.0,300,Chair next to wood desk.,लकड़ी के मेज़ के बगल में कुर्सी।,train
510,57,224,115.0,361,Lamppost next to television,टेलीविजन के बगल में लैम्पपोस्ट,train
512,387,369,93.0,126,Black backpack beside a bed,एक बिस्तर के बगल में काला बैग,train
513,432,309,64.0,29,A silver faucet in a bathroom,एक बाथरूम में एक चांदी का नल,train
514,437,237,265.0,362,small plant on porch,पोर्च पर छोटा पौधा,train
521,17,305,290.0,355,cedar shingles on the house,देवदार घर पर दाद,train
522,5,8,785.0,585,a white and tan hotel room,एक सफेद और टैन होटल का कमरा,train
524,235,326,168.0,91,Five knobs on a stove,एक डंडे पर पाँच गाँठ,train
525,426,419,372.0,179,the sink is stainless steel,सिंक स्टेनलेस स्टील है,train
527,603,518,94.0,77,a wooden floor,एक लकड़ी के फर्श,train
529,105,0,124.0,350,the window is shut,खिड़की बंद है,train
530,435,488,89.0,97,black car tire with silver rim,चांदी रिम के साथ काली कार टायर,train
531,16,145,290.0,441,a four legged steel chair,एक चार पैर वाली स्टील कुर्सी,train
538,187,195,114.0,54,Red desk lamp sitting on desk,लाल डेस्क लैंप डेस्क पर बैठे,train
540,509,314,80.0,124,the wooden night stand,लकड़ी की रात स्टैंड,train
546,372,171,90.0,366,tall grassy plants,लंबे घास के पौधे,train
551,482,0,244.0,176,part of a house plant,मकान पौधे का भाग,train
552,225,167,462.0,261,red and green plaid sofa,लाल और हरे रंग का प्लेड सोफा,train
553,296,135,500.0,216,Large kitchen area,बड़ा रसोई क्षेत्र,train
577,228,470,264.0,56,boat on the water,पानी पर नाव,train
583,0,144,798.0,349,vehicles parked on the side of the road,सड़क के किनारे वाहन खड़े कर दिए,train
586,159,338,60.0,165,A woman standing on the sidewalk.,फुटपाथ पर खड़ी एक महिला।,train
590,368,288,72.0,196,man standing on the phone,फोन पर खड़ा आदमी,train
594,202,492,34.0,57,a woman wearing a rain jacket,रेन जैकेट पहने एक महिला,train
596,31,555,205.0,137,taxi cab driving on street,सड़क पर टैक्सी टैक्सी चला रहे हैं,train
599,522,334,274.0,184,yellow taxi driving on a street,एक सड़क पर पीली टैक्सी चलती है,train
600,365,343,25.0,59,person walking down the sidewalk in a busy city,एक व्यस्त शहर में फुटपाथ के नीचे चलने वाला व्यक्ति,train
603,336,313,96.0,73,person walks on sidewalk,व्यक्ति फुटपाथ पर चलता है,train
610,384,317,403.0,202,Group of people is standing,लोगों का समूह खड़ा है,train
611,513,358,285.0,138,black car on the street,सड़क पर काली कार,train
612,201,377,34.0,27,window of a car,कार की खिड़की,train
614,68,339,290.0,117,flowers next to water,पानी के बगल में फूल,train
617,304,279,147.0,212,A food stand on a sidewalk,एक खाना फुटपाथ पर खड़ा है,train
619,17,230,41.0,102,person crossing on crosswalk,क्रॉसवॉक पर पार करने वाला व्यक्ति,train
626,244,302,307.0,157,van driving under light,प्रकाश के तहत वैन ड्राइविंग,train
629,0,404,323.0,163,Yellow taxi on the road,सड़क पर पीली टैक्सी,train
630,425,192,10.0,14,window on the building,भवन पर खिड़की,train
633,321,163,74.0,114,women is wearing a pink shirt,एक ऑरत ने गुलाबी कुर्ता पहना हुआ हैं,train
641,361,51,72.0,96,Tan hat hanging on a post,एक पोस्ट पर लटका तन टोपी,train
642,40,194,265.0,89,A white plane on a tarmac,एक टरमैक पर एक सफेद विमान,train
643,20,422,771.0,98,planes parked on the tarmac,टरमैक पर पार्क किए गए विमान,train
644,458,295,13.0,26,small window on airplane,हवाई जहाज पर छोटी खिड़की,train
648,448,390,21.0,21,car on the road,सड़क पर कार,train
652,441,508,77.0,48,small rocks,छोटी चट्टानें,train
653,122,275,189.0,241,tree trunk is broken,पेड़ का तना टूट गया है,train
654,340,285,99.0,257,person in red shorts,लाल शॉर्ट्स में व्यक्ति,train
656,334,413,83.0,57,the shrub is very short,झाड़ी बहुत कम है,train
658,551,245,108.0,100,clouds in the sky,आकाश में बादल,train
659,225,283,258.0,188,A buffalo near a road,एक सड़क के पास एक भैंस,train
663,254,256,82.0,37,cloud in the sky,आकाश में बादल,train
669,423,470,80.0,61,White moving through the water,सफेद पानी के माध्यम से चलती है,train
676,246,163,221.0,162,parrot is on top of cage,तोता पिंजरे के ऊपर है,train
681,112,119,233.0,186,A bird standing in water,पानी में खड़ा एक पक्षी,train
691,291,119,45.0,25,right eye,दाहिना आँख,train
699,92,274,17.0,21,light on the pole,पोल पर प्रकाश,train
701,1,375,797.0,224,highway in a quiet area,एक शांत क्षेत्र में राजमार्ग,train
702,21,178,33.0,36,white cloud in sky,आकाश में सफेद बादल,train
706,338,303,404.0,225,White boat next to the dock.,गोदी के आगे सफेद नाव।,train
707,416,448,96.0,53,boat in the water,पानी में नाव,train
708,340,258,113.0,105,boat is orange,नाव नारंगी है,train
711,0,347,796.0,109,bikes in line by sidewalk,फुटपाथ से लाइन में बाइक,train
721,365,406,66.0,34,small green minivan,छोटे हरे मिनीवान,train
722,193,106,48.0,99,american flag hanging on side of building,इमारत के किनारे लटकता हुआ अमेरिकी झंडा,train
727,2,75,112.0,177,tree behind building,निर्माण के पीछे पेड़,train
729,213,208,44.0,64,window on the building,भवन पर खिड़की,train
739,305,476,21.0,21,orange beak on white duck,सफेद बतख पर नारंगी चोंच,train
743,187,43,292.0,141,grey and white sky,ग्रे और सफेद आकाश,train
744,604,335,76.0,264,man holding long yellow skis,आदमी लंबी पीली स्की पकड़े हुए,train
745,349,440,27.0,24,the red flag in the snow,बर्फ में लाल झंडा,train
759,531,320,188.0,233,Black scooter on the road,सड़क पर काला स्कूटर,train
762,122,328,29.0,37,black metal lock box,काला धातु लॉक बक्सा,train
763,417,255,28.0,84,glass window on building,इमारत पर कांच विंडो,train
765,419,438,153.0,150,sidewalk is light grey,फुटपाथ हल्का भूरा है,train
768,218,171,40.0,58,window on the building,भवन पर खिड़की,train
773,288,304,506.0,294,paved road with parked cars,पार्क किए गए कारों सहित सड़क,train
778,689,109,12.0,59,window on a building,एक इमारत पर खिड़की,train
790,648,281,37.0,33,window on a building,इमारत पर खिडकि,train
791,223,340,573.0,257,white lines in the middle of the road,सड़क के बीच में सफेद लाइनें,train
802,368,364,281.0,205,car parked on a narrow road,एक संकरी सड़क पर खड़ी कार,train
803,553,396,29.0,21,red helmet on his head,उसके सिर पर लाल हेलमेट,train
810,458,413,139.0,88,boat on the water,पानी पर नाव,train
814,11,222,692.0,352,the boat is at a dock,नाव एक गोदी में है,train
818,387,531,28.0,38,pink pants,गुलाबी पैंट,train
819,32,558,76.0,41,Blue parking lines on the pavement,फुटपाथ पर नीली पार्किंग लाइनें,train
822,595,395,18.0,43,the man is walking,आदमी चल रहा है,train
823,337,500,129.0,43,the sidewalk,फ़ुटपाथ,train
826,200,130,45.0,65,green palm on radio,रेडियो पर हरी हथेली,train
828,140,411,10.0,11,hole in silver hubcap,सिल्वर हबकैप में छेद,train
831,420,273,86.0,202,Girl in blue jean skirt,नीली जीन स्कर्ट में लड़की,train
832,683,314,22.0,66,the electrical box on the post,पोस्ट पर विद्युत बॉक्स,train
837,251,321,26.0,80,sign on side of road,सड़क के किनारे साइन इन करें,train
841,43,436,56.0,42,green grass in a field,क्षेत्र में हरी घास,train
847,463,313,61.0,172,blue sign with large black base,बड़े काले आधार के साथ नीला चिन्ह,train
849,359,227,22.0,57,green palm on tree,पेड़ पर हरा हथेली,train
853,272,91,25.0,68,picture in a frame,एक फ्रेम में तस्वीर,train
857,210,328,380.0,177,the car is black,कार काला है,train
868,81,327,177.0,169,red car near plant,संयंत्र के पास लाल कार,train
869,542,279,182.0,81,car on the road,सड़क पर कार,train
872,555,321,244.0,112,white bus on the street,सड़क पर सफेद बस,train
873,15,138,17.0,12,window on a building,एक इमारत पर खिड़की,train
875,50,211,112.0,221,A decorated Christmas tree.,एक सजाया हुआ क्रिसमस ट्री।,train
889,56,23,398.0,257,yellow dump truck by the mountain,पहाड़ द्वारा पीला डंप ट्रक,train
891,592,187,36.0,45,green palm on tree,पेड़ पर हरा हथेली,train
896,54,19,246.0,105,sun in the sky,आकाश में सूर्य,train
902,546,379,12.0,17,white print style letter,सफेद प्रिंट शैली,train
906,48,62,180.0,41,the light is on the ceiling,छत पर प्रकाश है,train
920,171,322,85.0,35,light brown wooden step,हल्के भूरे रंग का लकड़ी का कदम,train
922,258,314,46.0,35,womens lips,महिला के होंठ,train
929,156,589,25.0,10,brick with grass around it,इसके चारों ओर घास के साथ ईंट,train
939,92,96,127.0,162,a seagull is standing,एक सीगल खड़ा है,train
943,0,13,797.0,509,the building is large,इमारत बड़ी है,train
944,202,373,163.0,69,A dark colored van.,गहरे रंग की एक वैन।,train
947,64,531,131.0,229,A dark haired woman in a colorful top,एक रंगीन शीर्ष में एक काले बालों वाली महिला,train
956,197,116,30.0,34,ear of the cat,बिल्ली का कान,train
963,191,94,474.0,504,the woman is next to the man,महिला पुरुष के बगल में है,train
970,247,80,43.0,42,window on a building,एक इमारत पर खिड़की,train
985,517,511,74.0,18,grey colored sidewalk brick,धूसर रंग के ईंट फ़ुटपाथ,train
988,224,274,86.0,201,the man is standing,आदमी खड़ा है,train
990,299,318,248.0,262,Three men standing in a group.,एक समूह में तीन आदमी खड़े थे।,train
991,413,420,236.0,165,A luggage cart on a tarmac,एक टार्मेक पर एक सामान गाड़ी,train
992,336,108,53.0,101,The tail of an airplane,एक हवाई जहाज की पूंछ,train
996,114,206,20.0,18,black restroom sign attached to the wall,ब्लैक टॉयलेट साइन दीवार से जुड़ा हुआ,train
999,164,453,521.0,120,a long metal rack,एक लंबा धातु रैक,train
1003,461,106,18.0,12,light on a machine,एक मशीन पर प्रकाश,train
1004,254,282,70.0,173,child wearing striped shirt,धारीदार शर्ट पहने बच्चा,train
1005,247,1,45.0,48,Cameras on the ceiling of the room,कमरे की छत पर लगे कैमरे,train
1009,149,259,34.0,49,Vase on the mantel,अग्निस्थान के उप्पर ग़ुलदान,train
1017,610,192,12.0,14,the man has a goatee,आदमी के पास एक बकरी है,train
1021,8,139,176.0,159,man painting on canvas,कैनवास पर आदमी पेंटिंग,train
1026,205,171,187.0,91,a row of red chairs,लाल कुर्सियों की एक पंक्ति,train
1028,134,530,446.0,68,two police officers,दो पुलिस अधिकारी,train
1031,160,158,177.0,109,houseboat in the water,पानी में हाउसबोट,train
1036,408,189,67.0,42,bread in a basket,एक टोकरी में रोटी,train
1038,165,42,86.0,102,man with short black hair,छोटे काले बालों वाला आदमी,train
1040,392,119,219.0,209,a big grey ball,एक बड़ी ग्रे बॉल,train
1044,616,162,68.0,108,White table cloth on the table,मेज पर सफेद कपड़ा तालिका,train
1047,283,257,197.0,190,A person sitting in the baptism tub.,एक व्यक्ति दीक्षा-स्नान टब में बैठे व्यक्ति |,train
1059,224,101,220.0,204,Horizontal Venetian blinds on the window,क्षैतिज विनीशियन खिड़की पर अंधा कर रही है,train
1063,142,121,156.0,138,Flat-screen television on the dresser,ड्रेसर पर फ्लैट स्क्रीन टेलीविजन,train
1073,269,3,459.0,196,lights suspended from ceiling,छत से निलंबित प्रकाश,train
1080,500,281,34.0,51,The man has gray hair.,आदमी के भूरे बाल हैं।,train
1087,231,97,67.0,112,man wearing white shirt,आदमी सफेद शर्ट पहने हुए,train
1091,267,127,258.0,261,People sitting in a bus.,एक बस में बैठे लोग।,train
1095,234,149,296.0,449,Man and woman in a candy store,एक कैंडी की दुकान में आदमी और औरत,train
1102,224,277,172.0,182,chair desk combo in the room,कमरे में कुर्सी डेस्क कॉम्बो,train
1113,196,480,46.0,15,The man is wearing glasses.,आदमी चश्मा पहन रहा है |,train
1116,391,257,55.0,58,A man with no shirt in the snow,बर्फ में कुर्ता के साथ एक व्यक्ति,train
1117,289,149,76.0,210,grey dividers for cubicles,क्यूबिकल्स के लिए ग्रे डिवाइडर,train
1122,152,18,40.0,128,windown pane on door,द्वार पर विन्ड फलक,train
1124,247,163,304.0,180,Truck has white cargo holder,ट्रक में सफेद कार्गो धारक है,train
1125,92,470,209.0,192,the chair has no arms,कुर्सी के पास कोई हथियार नहीं है,train
1130,190,82,55.0,130,man has head turned,आदमी का सिर मुड़ गया है,train
1137,281,320,66.0,97,child walking into plane,बच्चा विमान में घूम रहा है,train
1139,1,133,242.0,177,purple tissue paper around bouquet,गुलदस्ता के चारों ओर बैंगनी टिशू पेपर,train
1143,321,183,231.0,185,pool table in a large room,एक बड़े कमरे में पूल टेबल,train
1144,273,326,73.0,30,paddle on a table,एक तालिका पर पैडल,train
1155,69,57,163.0,273,Man standing in a room.,एक कमरे में खड़ा आदमी।,train
1159,141,261,70.0,46,Man relaxing in the water.,आदमी पानी में आराम करता है।,train
1160,169,275,77.0,50,man is in a pool,आदमी एक कुंड में है,train
1161,69,111,262.0,234,boy has brown hair,लड़के के भूरे बाल हैं,train
1162,380,106,79.0,218,A brown and white staircase,एक भूरे और सफेद सीढ़ी,train
1163,35,136,513.0,184,Building is painted green.,भवन को हरे रंग से रंगा गया है।,train
1164,340,288,333.0,147,many people in snow,बर्फ में कई लोग,train
1165,458,367,58.0,55,The silver toilet,चाँदी का शौचालय,train
1170,12,126,184.0,270,Yellow slide in the room,कमरे में पीली स्लाइड,train
1171,160,211,100.0,110,child shopping cart filled with fake food,बाल शॉपिंग गाड़ी से भरा हुआ भोजन,train
1175,52,56,729.0,498,this is a kitchen,यह एक रसोई है,train
1176,46,290,48.0,48,a faucet on the sink,सिंक पर एक नल,train
1177,428,8,64.0,65,Assorted cereals on a kitchen shelf,एक रसोई के शेल्फ पर अनाज रखा,train
1178,365,274,158.0,122,white microwave oven in corner,कोने में सफेद माइक्रोवेव ओवन,train
1180,0,150,265.0,116,wall papered wall in a kitchen,एक रसोई घर में दीवार papered दीवार,train
1194,3,0,492.0,299,A wall of orange dryers.,नारंगी ड्रायर्स की एक दीवार,train
1195,36,37,200.0,76,White pipe on the wall,दीवार पर सफेद पाइप,train
1196,365,44,179.0,291,dolphin statue near the pool,पूल के निकट डॉल्फिन,train
1202,487,290,81.0,54,microwave on top of counter,काउंटर के ऊपर माइक्रोवेव,train
1211,259,128,36.0,25,logo on the hat,टोपी पर लोगो,train
1212,18,230,172.0,165,a person kneeling down,एक व्यक्ति ने घुटने टेक दिए,train
1214,158,256,101.0,241,Person wearing black pants,व्यक्ति ने काला पैंट पहना है,train
1215,83,111,468.0,346,people sitting on a couch,एक सोफे पर बैठे लोग,train
1222,180,47,39.0,41,light hanging from the ceiling,छत से लटके हुए प्रकाश,train
1224,253,343,19.0,21,square hole in chair,कुर्सी में चौकोर छेद,train
1227,296,289,212.0,81,arms up in the air,हवा में हथियार,train
1233,8,134,62.0,84,orange pail hanging from wall,नारंगी की दीवार से लटकी हुई,train
1234,528,391,188.0,148,white washer situated under a counter,एक काउंटर के नीचे स्थित सफेद वॉशर,train
1246,15,69,54.0,92,person sitting in front of window,खिड़की के सामने बैठा व्यक्ति,train
1249,51,0,333.0,185,light of daytime sky,दिन के आकाश का प्रकाश,train
1252,51,123,131.0,68,Brown lounge chair next to the pool,पूल के बगल में ब्राउन लाउंज कुर्सी,train
1253,146,207,149.0,46,A group of umbrellas at a pool,एक पूल में छतरियों का एक समूह,train
1257,544,368,253.0,176,Red bench near elegant chair,सुरुचिपूर्ण कुर्सी के पास लाल बेंच,train
1260,149,109,107.0,81,green turtle pool in stack,स्टैक में हरा कछुआ पूल,train
1263,0,15,351.0,260,many people in a room,एक कमरे में कई लोग,train
1264,154,215,88.0,177,man with a blue and black plaid shirt,एक नीले और काले प्लेड शर्ट के साथ आदमी,train
1266,211,325,76.0,22,the word polar on the truck,ट्रक पर ध्रुवीय शब्द,train
1272,282,368,197.0,80,A black and brown area rug,एक काला और भूरा क्षेत्र गलीचा,train
1278,270,253,143.0,204,black chair to the left of brown table,भूरे रंग की मेज के बाईं ओर काली कुर्सी,train
1279,171,220,40.0,17,brown colored wooden stair,भूरे रंग की लकड़ी की सीढ़ी,train
1283,70,127,24.0,166,A yellow and black tie on a man,एक पीला और काला बांध आदमी पर,train
1289,314,270,32.0,85,person walking on trail,राह पर चलते व्यक्ति,train
1292,210,290,166.0,307,woman wearing red scarf,लाल स्कार्फ पहनने वाली महिला,train
1296,327,536,53.0,38,pigeon on ground,जमीन पर कबूतर,train
1297,356,251,344.0,192,back of docked houseboat,गोदी हाउसबोट की पीठ,train
1298,534,342,52.0,21,a yellow skirt,एक पीला स्कर्ट,train
1304,271,120,177.0,99,black tv in room,कक्ष में काला टीवी,train
1305,258,542,52.0,27,Television remote sitting on a red tablecloth,टेलीविज़न रिमोट एक लाल मेज़पोश पर बैठा है,train
1307,181,20,188.0,185,mirror on the wall,दीवार पर लगा दर्पण,train
1310,415,57,57.0,119,Picture hanging on the wall,दीवार पर टंगी तस्वीर,train
