bleu_main,bleu_comb,Train_Loss,Val_Loss
33.2,63.8/41.2/27.0/17.1,0.5386122531656709,0.539392352104187
35.02,64.8/42.7/28.6/19.0,0.5219521442694324,0.6084433794021606
34.14,64.1/42.4/27.8/18.0,0.5054825408650296,0.49490466713905334
34.46,64.6/42.5/27.8/18.5,0.49253572018018793,0.5341364145278931
34.72,63.9/42.6/28.4/18.8,0.47837250573294504,0.4649198055267334
34.84,64.0/42.6/28.4/19.1,0.4662656070930617,0.4969605505466461
34.86,64.3/42.6/28.4/19.0,0.45736550273639814,0.5158499479293823
34.32,64.4/42.4/28.0/18.1,0.4493827231760536,0.49279147386550903
34.43,64.2/42.5/28.3/18.2,0.4347469615084784,0.454079806804657
34.7,63.9/42.4/28.4/18.9,0.42481571356100695,0.49106359481811523
35.12,64.6/43.1/28.9/18.9,0.41664005390235354,0.4413858652114868
35.5,64.9/43.2/29.2/19.4,0.3994456747812884,0.4341990351676941
34.26,63.9/42.2/28.1/18.2,0.3934175420020308,0.41025757789611816
34.23,63.8/42.2/28.0/18.3,0.38695638360721724,0.4489794373512268
35.32,64.5/43.3/29.0/19.2,0.37752728456897394,0.3553605377674103
34.82,64.6/43.1/28.8/18.5,0.36822687089443207,0.4186271131038666
33.7,63.5/41.9/27.7/17.6,0.3590876931058509,0.37164294719696045
34.37,64.0/42.5/28.3/18.2,0.3540833153362785,0.4029286205768585
34.59,63.9/42.4/28.4/18.6,0.34795477853289675,0.377633661031723
35.53,64.9/43.4/29.4/19.2,0.3346381368381636,0.3657243251800537
34.81,64.1/42.9/28.8/18.6,0.3265292684414557,0.2869281470775604
34.8,64.7/42.9/28.4/18.6,0.32147232589444946,0.3434199094772339
34.61,64.7/42.7/28.2/18.4,0.31348685680755545,0.32752925157546997
34.71,64.3/42.5/28.4/18.7,0.30795634910464287,0.29318860173225403
35.22,64.6/42.8/28.8/19.3,0.29820767949734417,0.3111889958381653
36.03,64.6/43.7/29.9/20.0,0.29738547852528946,0.33316612243652344
35.11,64.6/42.6/28.7/19.2,0.29620255516575916,0.3297637403011322
34.87,64.4/42.7/28.5/18.8,0.2880248448678425,0.2502349317073822
34.31,64.1/42.2/28.1/18.2,0.27650767218853745,0.29384464025497437
34.98,64.3/42.7/28.6/19.1,0.26711914129555225,0.27557268738746643
35.28,65.0/43.3/28.9/19.0,0.2676113189331123,0.2690611183643341
35.13,64.4/42.9/28.8/19.2,0.2661573799060924,0.27010229229927063
35.08,65.2/43.4/28.9/19.0,0.2660225862637162,0.2588501274585724
35.47,65.7/43.4/29.3/19.0,0.2546081632109625,0.27542200684547424
35.24,64.5/43.0/28.9/19.2,0.2477806137342538,0.24653346836566925
35.69,65.6/43.8/29.2/19.3,0.24224882080618823,0.2861630916595459
35.0,64.6/42.9/28.6/18.9,0.24196771878216947,0.24767489731311798
35.93,65.2/43.7/29.6/19.8,0.24241525985832726,0.29034367203712463
35.21,65.2/43.2/28.6/19.1,0.2335622672523771,0.26198211312294006
36.01,65.4/44.3/29.7/19.5,0.2273705821218235,0.2621431052684784
35.21,65.3/43.1/28.7/19.1,0.22789155332637684,0.23065179586410522
35.21,65.3/43.4/28.7/19.0,0.23264989722520113,0.23028013110160828
35.44,65.4/43.7/29.2/19.5,0.22093180819813693,0.25243642926216125
35.83,65.2/43.6/29.6/19.6,0.21533017033444984,0.23748792707920074
35.62,65.0/43.6/29.1/19.5,0.21488578165216105,0.18537375330924988
36.02,65.3/43.7/29.9/20.2,0.2147028926493866,0.2478194385766983
36.04,65.6/44.2/30.0/20.7,0.21609151775815658,0.2348247617483139
35.64,65.2/43.5/29.4/19.8,0.2149514365675194,0.22033698856830597
35.77,64.8/43.1/29.5/19.9,0.20903106659118617,0.22496670484542847
35.71,64.9/43.4/29.3/19.7,0.20114458365631954,0.20283184945583344
35.01,64.6/42.6/28.6/19.1,0.19555159910981143,0.22457195818424225
36.28,65.5/44.1/30.2/20.1,0.19602795889867203,0.2528940439224243
36.14,65.2/43.8/29.6/20.2,0.19852310605347157,0.21681858599185944
35.84,65.0/43.3/29.4/20.2,0.19414989011628286,0.20793001353740692
36.05,65.4/43.8/29.7/20.2,0.19078598504087754,0.22655373811721802
35.67,64.8/43.2/29.3/19.8,0.18920565170368978,0.17105139791965485
35.68,64.6/42.8/29.3/20.0,0.1866220710799098,0.2229822874069214
35.98,65.2/43.6/29.4/20.0,0.18540248248193944,0.18791714310646057
36.06,65.4/43.6/29.4/20.3,0.1851994130494339,0.1643446683883667
36.04,65.3/43.5/29.6/20.1,0.18253355746024422,0.17908568680286407
36.33,65.3/43.6/29.7/20.6,0.17807686648198537,0.1816614717245102
36.4,65.8/44.1/29.7/20.4,0.17641470408333199,0.1514677107334137
36.24,65.5/44.2/29.8/20.0,0.17438821567754662,0.1659470647573471
36.87,65.8/44.2/30.3/21.0,0.17264103250844137,0.1822046935558319
36.83,66.1/44.8/30.3/20.8,0.17184559435450605,0.2338210940361023
35.88,65.6/44.1/29.8/19.8,0.1742565261998347,0.15017008781433105
35.82,65.6/43.9/29.3/19.5,0.17081190173381142,0.16532748937606812
35.65,65.3/43.5/29.3/19.4,0.16878884225817664,0.21961775422096252
35.5,65.4/43.0/29.3/19.9,0.17062599384891136,0.14656952023506165
35.97,65.7/43.6/29.6/20.0,0.16996140492015652,0.13777494430541992
36.92,66.6/44.7/30.7/21.2,0.17264517383383854,0.1736266016960144
35.65,65.2/43.3/29.2/19.6,0.17481148588870252,0.17906895279884338
36.52,66.1/44.2/30.3/20.4,0.16284565121999808,0.11383940279483795
35.82,65.6/43.3/29.4/19.8,0.164405112420874,0.20463132858276367
35.01,65.2/43.0/28.5/18.8,0.16063823670681035,0.18342314660549164
36.46,66.2/44.4/30.1/20.4,0.15952985587396792,0.1708477884531021
37.3,66.4/45.2/31.3/21.9,0.15550048223563603,0.1591469645500183
36.21,65.2/43.9/29.7/20.2,0.15637708847810114,0.1678704172372818
36.39,66.2/44.2/30.0/20.5,0.1571277151150363,0.18384750187397003
36.6,65.8/44.0/30.1/20.6,0.1586419987226171,0.18580099940299988
35.57,65.2/43.4/29.1/19.5,0.1608460025329675,0.15415623784065247
36.19,65.9/44.2/30.2/20.7,0.1499994003346988,0.15867124497890472
37.05,66.4/44.7/30.8/21.1,0.15178099667121256,0.17635446786880493
36.16,65.5/43.9/29.5/20.2,0.14559580505426442,0.1290467083454132
35.29,65.6/43.6/29.1/19.6,0.1483922840894333,0.1558517962694168
36.47,65.5/44.0/29.9/20.5,0.15122185394700086,0.1472870111465454
36.1,65.7/43.4/29.5/20.2,0.14656806085258722,0.1539914757013321
36.28,65.2/43.3/29.6/20.7,0.14576268302542822,0.19091029465198517
37.07,66.0/44.4/30.3/21.3,0.1394100046184446,0.11809230595827103
36.41,65.9/43.9/29.9/20.9,0.1411976609379053,0.16501076519489288
35.9,66.0/43.7/29.3/19.8,0.14327675489974873,0.18819883465766907
35.84,65.2/43.0/29.5/19.9,0.14190162126240985,0.1744740903377533
36.54,65.8/43.8/30.1/20.9,0.14197556348517537,0.1526293009519577
35.56,65.8/43.3/29.1/19.9,0.13976892429803098,0.14612455666065216
36.19,65.7/43.9/29.6/20.2,0.13720642063500627,0.11665277928113937
35.72,65.2/43.3/29.4/20.0,0.1410243455985827,0.15369904041290283
35.74,65.7/43.4/29.4/19.9,0.14517124236694404,0.21744318306446075
35.71,65.3/43.3/29.1/19.8,0.15149247746116348,0.14586250483989716
35.66,65.5/43.2/29.3/20.1,0.14713116715263044,0.13537058234214783
35.0,64.8/42.3/28.6/19.1,0.14353595793779408,0.14196021854877472
36.08,65.6/43.4/29.5/20.3,0.13554451015910932,0.16671651601791382
36.56,65.7/44.1/29.9/20.6,0.13510708983189293,0.17937809228897095
36.36,65.8/44.0/29.9/20.9,0.1353094683560942,0.15058542788028717
35.7,65.5/43.6/29.4/19.6,0.13454622409439512,0.16254374384880066
36.16,65.8/43.5/29.8/20.6,0.13695480168930121,0.1299578696489334
36.69,66.1/44.4/30.2/20.6,0.12898870777072652,0.17761872708797455
36.82,66.5/44.5/30.4/20.9,0.12667498644441366,0.16100174188613892
36.62,65.8/44.4/30.0/20.6,0.13293989987245627,0.11720913648605347
36.48,66.0/43.9/30.0/20.5,0.13786963453250273,0.15513122081756592
36.51,65.7/43.9/30.1/20.6,0.13309212301724724,0.13504430651664734
36.76,66.0/44.3/30.2/20.8,0.1364492565792586,0.12708856165409088
36.42,65.5/43.5/29.8/20.9,0.13564516550728253,0.15603068470954895
36.25,65.9/44.0/30.0/20.6,0.13522583811676928,0.13800039887428284
35.89,65.6/43.6/29.7/20.3,0.13064995255055173,0.14367887377738953
36.21,65.7/44.0/29.5/20.4,0.1286421409542007,0.1495845466852188
36.24,66.0/44.0/30.1/20.6,0.12739944444703205,0.15461044013500214
36.44,65.9/44.2/30.2/21.1,0.12849694729915687,0.13595153391361237
36.75,66.0/44.4/30.1/20.8,0.12980983965098858,0.1542789489030838
36.28,65.8/43.9/29.7/20.4,0.13241599593311548,0.19288277626037598
36.17,65.7/43.4/29.6/20.4,0.1287876585099314,0.11073233932256699
36.38,65.4/43.7/29.8/20.5,0.12707368064937846,0.14889024198055267
36.16,65.6/43.7/29.5/20.2,0.1272015399299562,0.12998081743717194
36.24,66.0/43.7/29.7/20.9,0.12245654261537961,0.10813763737678528
36.97,65.9/44.4/30.5/21.5,0.12440365932083555,0.16110959649085999
35.88,65.6/43.5/29.2/19.9,0.12476369332788247,0.16801375150680542
36.5,65.8/43.9/29.8/20.6,0.12292433849402837,0.17082759737968445
36.88,66.0/44.4/30.2/20.9,0.12725151775936996,0.14634840190410614
